date,hour,usd_rates
2026-03-27,16,1989.793720998749
2026-03-27,17,1985.7338708465827
2026-03-27,18,1976.2589523824402
2026-03-27,19,1983.458204641095
2026-03-27,20,1993.0849436852252
2026-03-27,21,1984.748484546758
2026-03-27,22,1984.1250396153675
2026-03-27,23,1984.1870443332202
2026-03-28,00,1990.8222830121113
2026-03-28,01,1991.1133594717985
2026-03-28,02,1987.9306460290002
2026-03-28,03,1985.5407234899299
2026-03-28,04,1987.6153374879702
2026-03-28,05,1988.4125225814284
2026-03-28,06,1993.000834525075
2026-03-28,07,1999.7751333082176
2026-03-28,08,2005.8824984071325
2026-03-28,09,1997.7952369865102
2026-03-28,10,1998.12485122868
2026-03-28,11,1995.1985026962063
2026-03-28,12,1996.8179303001407
2026-03-28,13,1998.5219759298677
2026-03-28,14,2024.07883642863
2026-03-28,15,2018.955594123432
2026-03-28,16,2024.5258555998464
2026-03-28,17,2023.763906320239
2026-03-28,18,2019.529426931357
2026-03-28,19,2020.91580399956
2026-03-28,20,2018.849654840655
2026-03-28,21,2022.9777602081672
2026-03-28,22,2009.2076811853422
2026-03-28,23,2010.137138442314
2026-03-29,00,1992.7681119939894
2026-03-29,01,1995.6680658401742
2026-03-29,02,2003.3632740496555
2026-03-29,03,2007.305045959203
2026-03-29,04,2009.9653040369333
2026-03-29,05,2004.1935256711981
2026-03-29,06,2004.6184937936134
2026-03-29,07,2003.6457921517765
2026-03-29,08,2004.9440436903287
2026-03-29,09,2002.7036300528448
2026-03-29,10,1997.6403099875154
2026-03-29,11,1994.7760956268096
2026-03-29,12,2002.8403771361895
2026-03-29,13,2000.5554868198585
2026-03-29,14,1985.9376780708847
2026-03-29,15,1991.8710655325233
2026-03-29,16,1991.1094164551787
2026-03-29,17,1995.8788146555942
2026-03-29,18,1993.6956049120915
2026-03-29,19,1995.8824736403099
2026-03-29,20,1993.8357704544749
2026-03-29,21,2000.7751256608037
2026-03-29,22,2005.0943810805143
2026-03-29,23,1972.5825828113816
2026-03-30,00,1983.184167632635
2026-03-30,01,1996.7373541487984
2026-03-30,02,2008.4132245378403
2026-03-30,03,2028.757171060875
2026-03-30,04,2034.9549309504
2026-03-30,05,2047.1047209682868
2026-03-30,06,2046.9531506067
2026-03-30,07,2041.5495998730764
2026-03-30,08,2057.0608580009452
2026-03-30,09,2061.257063385488
2026-03-30,10,2053.31461510939
2026-03-30,11,2055.4884204235923
2026-03-30,12,2067.6846789377273
2026-03-30,13,2073.5625382936805
2026-03-30,14,2059.2565564795973
2026-03-30,15,2069.956936041422
2026-03-30,16,2072.603535570885
2026-03-30,17,2061.0734922073384
2026-03-30,18,2040.1043620841906
2026-03-30,19,2029.7888876263596
2026-03-30,20,2021.1860275684826
2026-03-30,21,2023.0575689590405
2026-03-30,22,2036.50037060166
2026-03-30,23,2030.074618191544
2026-03-31,00,2023.82401658508
2026-03-31,01,2033.763660907954
2026-03-31,02,2072.860228566624
2026-03-31,03,2073.2726860425946
2026-03-31,04,2065.8439781453208
2026-03-31,05,2059.2670877018704
2026-03-31,06,2062.2518682990744
2026-03-31,07,2060.5232888287715
2026-03-31,08,2053.6847215714706
2026-03-31,09,2039.2395306334245
2026-03-31,10,2014.7724452958955
2026-03-31,11,2024.535193651414
2026-03-31,12,2038.9579977952496
2026-03-31,13,2045.80257533034
2026-03-31,14,2071.1158489301233
2026-03-31,15,2044.9168072244017
2026-03-31,16,2053.5705702696396
2026-03-31,17,2088.2859085907044
2026-03-31,18,2090.5771496654947
2026-03-31,19,2097.1193462194015
2026-03-31,20,2094.3506112899095
2026-03-31,21,2105.168710224847
2026-03-31,22,2100.580813356133
2026-03-31,23,2094.4986994273872
2026-04-01,00,2104.8765857093113
2026-04-01,01,2111.899370578424
2026-04-01,02,2091.5526830254526
2026-04-01,03,2086.794842306187
2026-04-01,04,2100.46033491221
2026-04-01,05,2109.1880769159434
2026-04-01,06,2121.8309023374018
2026-04-01,07,2150.6122402970623
2026-04-01,08,2129.7160851118856
2026-04-01,09,2137.4692395184916
2026-04-01,10,2135.90140390639
2026-04-01,11,2131.25886546559
2026-04-01,12,2134.7527124453322
2026-04-01,13,2129.8006542461712
2026-04-01,14,2118.9527902475947
2026-04-01,15,2125.954587199584
2026-04-01,15,2125.5586645492212
